,party,quote,said_by
248,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
249,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
250,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
251,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
252,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
253,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
254,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
255,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
256,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
257,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
258,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
259,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
260,D,Why can't I just eat my waffle?,Barack Obama
261,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
262,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
263,D,"Our stories may be singular, but our destination is shared.",Barack Obama
264,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
265,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
266,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
267,D,"While we breathe, we will hope.",Barack Obama
268,D,No one is pro-abortion. ,Barack Obama
269,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
270,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
271,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
272,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
273,D,Yes We Can!,Barack Obama
274,D,We are the change we have been waiting for.,Barack Obama
275,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
276,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
277,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
278,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
279,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
280,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
281,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
282,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
283,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
284,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
285,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
286,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
287,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
288,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
289,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
290,D,Why can't I just eat my waffle?,Barack Obama
291,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
292,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
293,D,"Our stories may be singular, but our destination is shared.",Barack Obama
294,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
295,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
296,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
297,D,"While we breathe, we will hope.",Barack Obama
298,D,No one is pro-abortion. ,Barack Obama
299,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
300,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
301,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
302,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
303,D,Yes We Can!,Barack Obama
304,D,We are the change we have been waiting for.,Barack Obama
305,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
306,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
307,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
308,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
309,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
310,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
311,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
312,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
313,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
314,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
315,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
316,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
317,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
318,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
319,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
320,D,Why can't I just eat my waffle?,Barack Obama
321,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
322,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
323,D,"Our stories may be singular, but our destination is shared.",Barack Obama
324,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
325,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
326,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
327,D,"While we breathe, we will hope.",Barack Obama
328,D,No one is pro-abortion. ,Barack Obama
329,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
330,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
331,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
332,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
333,D,Yes We Can!,Barack Obama
334,D,We are the change we have been waiting for.,Barack Obama
335,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
336,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
337,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
338,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
339,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
340,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
341,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
342,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
343,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
344,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
345,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
346,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
347,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
348,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
349,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
350,D,Why can't I just eat my waffle?,Barack Obama
351,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
352,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
353,D,"Our stories may be singular, but our destination is shared.",Barack Obama
354,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
355,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
356,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
357,D,"While we breathe, we will hope.",Barack Obama
358,D,No one is pro-abortion. ,Barack Obama
359,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
360,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
361,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
362,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
363,D,Yes We Can!,Barack Obama
364,D,We are the change we have been waiting for.,Barack Obama
365,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
366,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
367,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
368,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
369,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
370,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
371,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
372,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
373,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
374,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
375,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
376,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
377,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
378,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
379,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
380,D,Why can't I just eat my waffle?,Barack Obama
381,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
382,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
383,D,"Our stories may be singular, but our destination is shared.",Barack Obama
384,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
385,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
386,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
387,D,"While we breathe, we will hope.",Barack Obama
388,D,No one is pro-abortion. ,Barack Obama
389,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
390,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
391,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
392,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
393,D,Yes We Can!,Barack Obama
394,D,We are the change we have been waiting for.,Barack Obama
395,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
396,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
397,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
398,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
399,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
400,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
401,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
402,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
403,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
404,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
405,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
406,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
407,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
408,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
409,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
410,D,Why can't I just eat my waffle?,Barack Obama
411,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
412,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
413,D,"Our stories may be singular, but our destination is shared.",Barack Obama
414,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
415,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
416,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
417,D,"While we breathe, we will hope.",Barack Obama
418,D,No one is pro-abortion. ,Barack Obama
419,D,You can’t let your failures define you. You have to let your failures teach you.,Barack Obama
420,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
421,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
422,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
423,D,Yes We Can!,Barack Obama
424,D,We are the change we have been waiting for.,Barack Obama
425,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
426,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
427,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
428,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
429,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
430,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
431,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
432,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
433,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
434,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
435,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
436,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
437,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
438,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
439,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
440,D,Why can't I just eat my waffle?,Barack Obama
441,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
442,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
443,D,"Our stories may be singular, but our destination is shared.",Barack Obama
444,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
445,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
446,D,"More than a building that houses books and data, the library has always been a window to a larger world--a place where we've always come to discover big ideas and profound concepts that help move the American story forward. . . . .Libraries remind us that truth isn't about who yells the loudest, but who has the right information. Because even as we're the most religious of people, America's innovative genius has always been preserved because we also have a deep faith in facts.And so the moment we persuade a child, any child, to cross that threshold into a library, we've changed their lives forever, and for the better. This is an enormous force for good.",Barack Obama
